Ranking,Region,Average Female Height  2022
1,Oregon,54.8
2,Montana,54.7
3,South Dakota,54.7
4,Minnesota,54.7
5,Utah,54.7
6,Idaho,54.7
7,Nebraska,54.6
8,Iowa,54.6
9,Kansas,54.5
10,Mississippi,54.5
11,Wyoming,54.5
12,Tennessee,54.5
13,North Dakota,54.5
14,Wisconsin,54.5
15,Alaska,54.5
16,Colorado,54.5
17,Alabama,54.5
18,Oklahoma,54.5
19,Virginia,54.4
20,Washington,54.4
21,Illinois,54.4
22,Kentucky,54.4
23,Arizona,54.4
24,Maine,54.4
25,Maryland,54.4
26,Missouri,54.4
27,North Carolina,54.4
28,Nevada,54.3
29,Georgia,54.3
30,South Carolina,54.3
31,Delaware,54.3
32,Michigan,54.3
33,Vermont,54.3
34,Ohio,54.3
35,Louisiana,54.3
36,Pennsylvania,54.3
37,Indiana,54.3
38,Arkansas,54.2
39,Connecticut,54.2
40,Massachusetts,54.2
41,West Virginia,54.2
42,New Jersey,54.1
43,Texas,54.1
44,New Hampshire,54
45,New York,54
46,Rhode Island,53.9
47,California,53.8
48,New Mexico,53.7
49,Hawaii,53.4