Ranking,Region,Average Male Height 2022
1,Montana,510.6
2,South Dakota,510.6
3,Alabama,510.6
4,Tennessee,510.6
5,Utah,510.6
6,Nebraska,510.6
7,Kansas,510.5
8,Wyoming,510.5
9,Missouri,510.5
10,West Virginia,510.4
11,Minnesota,510.4
12,Oregon,510.4
13,Wisconsin,510.4
14,Ohio,510.4
15,Iowa,510.4
16,Oklahoma,510.4
17,Mississippi,510.4
18,Idaho,510.4
19,Alaska,510.4
20,Virginia,510.3
21,Arkansas,510.3
22,Kentucky,510.3
23,North Dakota,510.3
24,Washington,510.3
25,Arizona,510.3
26,Indiana,510.3
27,Michigan,510.3
28,Nevada,510.3
29,South Carolina,510.3
30,Illinois,510.2
31,Colorado,510.2
32,Georgia,510.2
33,Delaware,510.2
34,Louisiana,510.1
35,Maine,510.1
36,North Carolina,510.1
37,Pennsylvania,510.1
38,Maryland,510
39,Vermont,510
40,New Hampshire,509.9
41,Connecticut,509.9
42,Texas,509.9
43,New York,509.8
44,Massachusetts,509.7
45,New Mexico,509.7
46,Rhode Island,509.7
47,New Jersey,509.6
48,California,509.4
49,Hawaii,509