StateAbbr,StateID,State,Median_Income_Male,Median_Income_Female,Average_Height,Pct_HS_or_more,Pct_Bachelors_or_more,White,Black,Hispanic,Asian,Native,Foreign-Born
Alabama,1,Alabama,58293,43218,66.924,0.379339592,0.405091121,0.636,0.25,0.058,0.016,0.960234066,0.039765934
Alaska,2,Alaska,70177,60571,67.476,0.51972432,0.30644072,0.574,0.023,0.074,0.061,0.925592373,0.074407627
Arizona,4,Arizona,59700,51289,67.176,0.368338015,0.379122439,0.523,0.044,0.317,0.035,0.868001401,0.131998599
Arkansas,5,Arkansas,52577,42123,66.756,0.386730909,0.376987071,0.673,0.141,0.092,0.017,0.947081427,0.052918573
California,6,California,69343,60893,66.66,0.361528182,0.410174765,0.333,0.05,0.406,0.156,0.726935363,0.273064662
Colorado,8,Colorado,72763,58811,67.44,0.358060349,0.386318721,0.647,0.036,0.227,0.032,0.904195583,0.095804417
Connecticut,9,Connecticut,77561,65679,66.948,0.341678869,0.370923109,0.614,0.098,0.187,0.047,0.836721243,0.163278757
Delaware,10,Delaware,65471,53129,66.96,0.390544173,0.384953353,0.582,0.213,0.111,0.043,0.888428999,0.111571001
Florida,12,Florida,55918,47125,,0.350887371,0.40646024,0.503,0.142,0.276,0.029,0.779004265,0.220995735
Georgia,13,Georgia,61086,49872,66.864,0.389314647,0.368472238,0.488,0.304,0.111,0.045,0.884446843,0.115553157
Hawaii,15,Hawaii,64848,53780,65.976,0.428622995,0.371615931,0.198,0.014,0.098,0.366,0.821790657,0.178209343
Idaho,16,Idaho,58067,44107,67.356,0.366394817,0.418198525,0.784,0.008,0.138,0.014,0.942990015,0.057009985
Illinois,17,Illinois,67800,54544,67.212,0.36182948,0.375418841,0.58,0.128,0.191,0.06,0.850283939,0.149716061
Indiana,18,Indiana,61185,47523,67.032,0.390393248,0.341640616,0.752,0.087,0.088,0.026,0.936951406,0.063048594
Iowa,19,Iowa,61509,49559,67.476,0.34688857,0.420249371,0.826,0.036,0.074,0.023,0.941189659,0.058810341
Kansas,20,Kansas,60698,46948,67.392,0.341409803,0.417294332,0.73,0.048,0.137,0.026,0.929461763,0.070538237
Kentucky,21,Kentucky,56777,45024,67.2,0.408405421,0.368851654,0.819,0.071,0.048,0.014,0.955442965,0.044557035
Louisiana,22,Louisiana,59105,43414,66.936,0.358892543,0.41337195,0.56,0.298,0.071,0.017,0.951315212,0.048684788
Maine,23,Maine,61295,50893,66.876,0.383983201,0.380263206,0.9,0.018,0.021,0.009,0.961705841,0.038294159
Maryland,24,Maryland,76771,65420,66.984,0.342810459,0.374580306,0.464,0.288,0.127,0.066,0.829798068,0.170201932
Massachusetts,25,Massachusetts,81751,69248,66.78,0.323319821,0.372689863,0.662,0.065,0.135,0.072,0.819524641,0.180475359
Michigan,26,Michigan,63053,50792,67.08,0.362610372,0.387991956,0.726,0.13,0.059,0.033,0.926518599,0.073481401
Minnesota,27,Minnesota,69275,57610,67.5,0.334899724,0.390224687,0.757,0.068,0.064,0.052,0.913670384,0.086329616
Mississippi,28,Mississippi,52207,40341,66.948,0.365651457,0.431080268,0.552,0.355,0.036,0.009,0.974430977,0.025569023
Missouri,29,Missouri,59171,46479,67.176,0.372578896,0.389650742,0.768,0.105,0.052,0.02,0.952094169,0.047905831
Montana,30,Montana,58649,46043,67.74,0.397712144,0.36789113,0.839,0.005,0.046,0.008,0.978263825,0.021736175
Nebraska,31,Nebraska,60853,50037,67.344,0.337027823,0.42845865,0.752,0.042,0.13,0.026,0.92299706,0.07700294
Nevada,32,Nevada,55485,47938,67.116,0.436520844,0.319390656,0.444,0.087,0.3,0.091,0.807531269,0.192468731
New Hampshire,33,New Hampshire,75549,56748,66.624,0.36435609,0.396240052,0.865,0.012,0.045,0.026,0.932332849,0.067667151
New Jersey,34,New Jersey,78423,64922,66.828,0.327613078,0.36370467,0.506,0.119,0.227,0.102,0.757779624,0.242220376
New Mexico,35,New Mexico,55924,47645,66.408,0.402888743,0.3525591,0.361,0.016,0.487,0.017,0.897985264,0.102014736
New York,36,New York,71516,62234,66.696,0.311305402,0.399548323,0.528,0.132,0.199,0.09,0.769150982,0.230849018
North Carolina,37,North Carolina,57390,48599,67.044,0.360302894,0.394372172,0.599,0.198,0.114,0.033,0.908160415,0.091839585
North Dakota,38,North Dakota,63278,49562,67.476,0.291579696,0.478534156,0.816,0.026,0.044,0.014,0.960332991,0.039667009
Ohio,39,Ohio,62229,50414,67.104,0.39633827,0.355677321,0.758,0.117,0.048,0.025,0.947236855,0.052763145
Oklahoma,40,Oklahoma,54849,43233,67.092,0.397280873,0.362783934,0.619,0.064,0.129,0.023,0.938865624,0.061134376
Oregon,41,Oregon,64099,55082,67.488,0.396696346,0.371662482,0.71,0.019,0.149,0.045,0.903931583,0.096068417
Pennsylvania,42,Pennsylvania,65492,53527,67.08,0.389435083,0.368067181,0.73,0.099,0.089,0.039,0.920433172,0.079566828
Rhode Island,44,Rhode Island,71118,58454,66.516,0.356673446,0.392366211,0.676,0.046,0.182,0.032,0.852918258,0.147081742
South Carolina,45,South Carolina,57868,45229,66.996,0.39561412,0.375746775,0.62,0.24,0.074,0.017,0.941111983,0.058888017
South Dakota,46,South Dakota,58235,46387,67.476,0.335741346,0.382144622,0.796,0.024,0.05,0.017,0.956551487,0.043448513
Tennessee,47,Tennessee,57455,46377,67.308,0.380358767,0.373664764,0.713,0.15,0.075,0.018,0.939378283,0.060621717
Texas,48,Texas,61431,49693,66.924,0.375056288,0.380482391,0.388,0.118,0.4,0.056,0.821157317,0.178842683
Utah,49,Utah,67477,49092,67.68,0.343792784,0.454675159,0.745,0.01,0.16,0.025,0.911115376,0.088884624
Vermont,50,Vermont,63127,57556,66.948,0.376130199,0.409918055,0.892,0.013,0.024,0.016,0.955137274,0.044862726
Virginia,51,Virginia,72896,58540,67.08,0.370283633,0.382974316,0.583,0.179,0.111,0.07,0.866506848,0.133493152
Washington,53,Washington,77909,63376,67.236,0.381044201,0.356095042,0.625,0.038,0.145,0.099,0.844624133,0.155375867
West Virginia,54,West Virginia,57183,43666,66.948,0.434658627,0.356503988,0.902,0.026,0.02,0.007,0.981737456,0.018262544
Wisconsin,55,Wisconsin,62608,50715,67.224,0.378517818,0.394373308,0.787,0.057,0.081,0.029,0.947910448,0.052089552
Wyoming,56,Wyoming,62317,50242,67.128,0.400465774,0.388303907,0.815,0.006,0.107,0.006,0.963568624,0.036431376